text,target
"Convincing President Trump to release his tax returns is proving slightly more difficult than we initially anticipated, but that doesn t mean there haven t been any signs of success from taking the longer route. Take, for example, a 98-page document recently released by the United States Office of Government Ethics.The document, available in its entirety here, clearly shows that not only is Donald Trump outright profiting from the presidency, a direct violation of the Emoluments Clause of the United States Constitution but also that he is in debt to several banks, both domestic and foreign.Although shocking news, none of this particularly comes as a surprise, more or less just confirms what most of us already suspected. However, it s when you delve into the details that you discover the true significance of the President s possible under-the-table actions.German-based Deutsche Bank was served with $630 million in penalties back in January for a $10 billion Russian money laundering scheme involving it s Moscow and New York branches among others. Deutsche Bank also gave Trump four questionable long-term  loans,  potentially Russian money that s been handed to Trump, the final loan given just before the commencement of the presidential election and used to help fund the Trump International Hotel that opened in Washington DC last year.Obviously, this interaction between Trump and Deutsche Bank should raise more than just a few red flags, at least confirming that there is a possibility that the Russians laundered money to Trump as he began his campaign and just prior to hiring senior advisors with ties to the Russian government.Furthermore, Deutsche Bank is gaining somewhat of a reputation for their shady business dealings as well. Not only were they caught in the Russian laundering scheme, the bank also struck a $7.2 billion deal with the US government last December to settle claims for toxic mortgages they packaged and sold between 2005 and 2007, as well as paying $2.5 billion in April 2015 to settle charges it conspired to manipulate global interest rate benchmarks.It s interesting, yet not at all surprising, how corrupt people and organizations just seem to gravitate toward each other.Featured image via Getty/Drew Angerer and screenshot",0
"The Republican Party is having a terrible week when it comes to the perverts in their ranks being outed. First, there s the fact that Alabama Senate candidate Roy Moore has been accused of  dating  girls as young as 14, and actually molesting said 14-year-old. What s worse is the fact that instead of demanding that Moore leave the race, many Alabama Republicans have been defending him. One of them, Alabama GOP Auditor Jim Ziegler, even used the Bible as a justification for Moore s alleged actions.Now, the GOP has another mess on their hands when it comes to perversion in their ranks: Minnesota State Rep. Tony Cornish. The Star Tribune obtained a text message Cornish sent to a fellow lawmaker, in which he joked about how aroused he was while looking at her on the State House Floor. The Star Tribune says of the text message they received: Maye Quade, first elected in 2016, provided the Star Tribune with a text message from Cornish in May 2017 in which he wrote that he  got busted for staring at you on the House floor   Haha. I told him it was your fault, of course. Look too damned good. Ha. I must be more gentlemanly when I run for governor. As if that were not bad enough, there s Cornish s treatment of a female lobbyist in his office. The lobbyist alleges that Cornish trapped her in the office and insisted that she help him with his, quote,  raging boner.  City Pages says of that incident: The most disturbing allegations against Cornish come from a lobbyist who asked to have her identity protected. The lobbyist says Cornish engaged in a years-long campaign of harassment, soliciting her for sex in text messages   she rebuffed him   and once pushing her against a wall in his office and trying to kiss her.On another occasion, during a meeting in his office, the woman says she was attempting to leave when Cornish stood up and pointed down, saying:  I have a raging boner. You can t leave.  This, the lobbyist says, Cornish said twice; she did leave, anyway.And let s remember   for every one of these incidences that gets reported, there s usually bunches more that don t, because of the way people who come forward regarding being sexually harassed and assaulted are treated.Get your act together, GOP. This behavior is not just unacceptable. It s criminal. Oh, and let s not forget   you guys are the ones who go around judging and moralizing on the lives of others. So much so, in fact, that many of you make entire careers of doing just that. Family values indeed.Featured image via tonycornish.com",0
"In the late 1970 s, Alabama Senate Candidate Roy Moore (R- Of Course) would have been in his early 30 s. However, he liked little girls   literally. A bombshell report in the Washington Post alleges that Moore, who was 32 in 1979, approached Leigh Corfman in a courthouse. Corfman was 14 at the time. Moore picked the little girl up near her home, drove her to his home in the woods, and proceeded to molest her, according to the story. Now, this is the man who is running for the United States Senate. The thing is, though, Moore s political career should have been over and done with decades ago.You see, according to people who worked with Roy Moore at the time, it was, quote,  common knowledge  that he liked dating high schoolers. Moore s former colleague Theresa Jones, who was a Deputy District Attorney with Moore at the time, says of the situation: It was common knowledge that Roy dated high school girls, everyone we knew thought it was weird We wondered why someone his age would hang out at high school football games and the mall but you really wouldn t say anything to someone like that. Jones went on to urge others who know firsthand what Roy Moore is like to come forward:Original tweet by Teresa Jones: ""I have no doubt these stories [about Roy Moore] have validity."" pic.twitter.com/oPWaeKrS8W  Alexander Marquardt (@MarquardtA) November 11, 2017Well, it s honestly not  dating  when it s a 30-something year old man and little girls. That s pedophilia. We must not conflate the two. Secondly, this is today s Republican Party. This is where we re at- where one of America s two major political parties thinks it s A-OKAY to try and get a pedophile elected to the United States Senate.It really is too bad that more people didn t out Roy Moore as the pedophile that he was all those years ago. Perhaps the American people would not be in the situation we re in right now if they had   with this disgusting man on the brink of becoming a United States Senator.Featured image via Scott Olson/Getty Images",0
"The religious right movement is not the same movement anymore.And Frank Schaeffer would know. After all, he helped his father create it.The movement originally began as an anti-abortion organization specifically designed to bring angry Christians to the voting booth. But has since become something even more insidious.In recent years, conservative  Christians  have become one giant hate group that supports Nazism and rape while working to strip women, minorities and gay people of their constitutional rights.During an appearance on AM Joy on Saturday, Schaeffer roundly condemned the Christian Right and the Republican Party in a smack down of Biblical proportion taking particular aim at Roy Moore and Donald Trump, whom conservatives are supporting despite several sexual abuse and assault allegations against them and Trump s own refusal to condemn Nazis. Back in the day when my dad and me were going around the country establishing the religious right based on our anti-abortion stand, one I ve moved a long way from since, the whole idea was bringing America back to some moral stand,  Schaeffer began. Think about the Republican Party now,  Schaeffer continued.  Throw some words out that are associated with them: mass shootings, Milo, Trump, Moore, Bannon, rape, child molesting, neo-Nazis, white supremacy. What the hell is going on with the Republican Party? I m not shocked by Donald Trump, he s an ass. I m not shocked by Roy Moore. he s a loud mouth, a gun-toting fool. What I m shocked by is the complicity. We are in a political climate that s built on one lie after another. I just want to say for the record, by the way, I believe a woman who stands up, which is very difficult to do and comes forward with a story like that. She was a Trump voter. She s a Republican. I believe her. I just want to say that as a father and grandfather and someone that respects women that I believe her. Here s the video via YouTube.Conservative  Christians  and Republicans should pay attention to what Schaeffer says. Clearly, the movement he helped create has turned into a monster that is far removed from the teachings of Jesus and the Bible. That is evidenced by the fact that conservatives are perverting the Bible to defend Moore s predatory behavior.It s time for the American people to wake up and put an end to the Christian Right. They have never represented the values of the American people and they work every day to undermine our nation in an effort to turn it into their perverted and hateful version of a Christian utopia. Their insanity must be stopped.Featured Image: Screenshot",0
"It didn t take long for conservative  Christians  to jump to the defense of Roy Moore.Not long after the Washington Post published a story containing detailed accusations from several women who claim that Moore sexually assaulted and abused them as teens, conservatives disgustingly continued to back him despite having the opposite reaction to allegations against several high profile Hollywood actors and producers.And that s not to mention the reaction conservatives had when right-wing websites pushed a conspiracy claiming that Hillary Clinton ran a sex trafficking operation inside a pizza restaurant, a conspiracy that was immediately and thoroughly debunked.Conservatives STILL believe that conspiracy, but refuse to believe the very real victims who have come forward about Moore.Rather than call for Moore to step aside, conservative  Christians  are more rabid than ever, and that includes Jerry Falwell Jr., who along with the rest of his anti-gay friends still supports Moore just like they continued to support Donald Trump despite Trump saying on tape that he likes to grab women by their genitals without their consent. It comes down to a question who is more credible in the eyes of the voters   the candidate or the accuser,  Falwell said.  The same thing happened to President Trump a few weeks before his election last year except it was several women making allegations. He denied that any of them were true and the American people believed him and elected him the 45th president of the United States. And I believe the judge is telling the truth. So Falwell Jr. is making Moore s guilt contingent on whether voters elect him or not. In other words, he s telling Republican voters that electing him is the equivalent of a jury verdict of  not guilty. But that s not how the justice system works. And it s not how we should be judging political candidates.It should be pointed out that the race in Alabama has turned into a dead heat according to a poll taken after the bombshell story dropped, so clearly voters must not think Moore is very credible.These are credible allegations that should be taken seriously. Seriously enough that Moore should be forced to withdraw his candidacy. The fact that conservatives are using the Bible to defend sexual abuse and assault proves that they are nothing more than fake Christians. They would support a pedophile rather than vote for a Democrat. That s how far conservative  Christians  have fallen. They are literally supporting a man who claimed that homosexuality causes pedophilia, the same man who is being accused of predatory sexual behavior involving a 14-year-old girl. Only Moore is a straight white  Christian  so conservatives think his pedophilia is acceptable.Hillary Clinton was right. These people are deplorable.Featured Image: Scott Olson/Getty Images",0
"President Bone Spurs finally made it to Vietnam over 40 years too late this week, and he used the occasion to stab our intelligence community in the back again.While taking questions from reporters on Air Force One, Donald Trump was asked if he still believes Vladimir Putin s denial that Russia interfered with the 2016 Election even though the evidence proves that Russia meddled.Of course, Trump is Putin s puppet so he was quick to throw U.S. officials and U.S. agencies under a speeding bus to side with the Russian dictator. He said he didn t meddle, he said he didn t meddle,  Trump said.  I asked him again. You can only ask so many times. I just asked him again. He said he absolutely did not meddle in our election, he did not do what they are saying he did. As we all know, 17 agencies, including the FBI and CIA agree that Russian interfered with the 2016 Election. There is so much evidence that Trump is being investigated for colluding with Russia, not only by a special prosecutor, but by Congress as well.We also know that Trump s own son met with Kremlin-connected Russian officials at Trump Tower seeking their help. Not long after that meeting, Trump urged Russia to hack Hillary Clinton s emails and the DNC.Trump went on to claim that the  whole thing was set up by the Democrats  and desperately defended Putin again. Every time he sees me he says I didn t do that and I really believe that when he tells me that, he means it. But he says I didn t do that. I think he is very insulted by it, if you want to know the truth. Don t forget. All he said was he never did that, he didn t do that. I think he is very insulted by it, which is not a good thing for our country. Then Trump attacked the intelligence community officials who have testified under oath that Russia meddled with our democratic process. They re political hacks. So you look at it, and then you have Brennan, you have Clapper and you have Comey. Comey s proven now to be a liar and he s proven to be a leaker. So you look at that. And you have President Putin very strongly, vehemently says he had nothing to do with that. And there you have it. Trump would rather believe the word of a Russian dictator over the word of several high ranking American officials who spent most of their lives dedicated to keeping America and our democratic institutions safe.That alone should outrage the American people.Featured Image: Steffen Kugler /BPA via Getty Images",0
"GOP candidate Roy Moore is accused of sexually molesting a 14-year-old girl when he was 32-years-old and several of the state s officials have said they would still support him even if the allegations are true because it s better than voting for a Democrat. Some Republicans have called for Moore to step down  if  the accusations are true, even though they ve been backed up by 30 people and there are four accusers. Leigh Corfman, who voted for Donald Trump in 2016, said she was 14 years old when she met Moore, who later took her to his home. While there, she said Moore removed her shirt and pants, then he removed his clothes. Moore then allegedly touched her over her bra and underwear, and put her hand on his crotch.So Vice-President Mike Pence, a right-wing Christian, has stated that he found the allegations in the story  disturbing and believes, if true, this would disqualify anyone from serving in office.  Except that Pence s boss has been accused by numerous women of sexual misconduct and somehow, Trump supporters have always been cool with that.This unfortunate tweet sent out by Pence in late September is coming back at him fast AF. Congratulations Roy Moore! We are thrilled you ran on the #MAGA agenda & we are for you!  Pence tweeted.Congratulations Roy Moore! We are thrilled you ran on the #MAGA agenda & we are for you!  Mike Pence (@mike_pence) September 27, 2017Twitter users pounced.Mike you may want to delete this.  Rob (@Unpersuaded112) November 10, 2017Consider it done, Mr. Williams.Screenshot the shit out of that.  William Williams (@hahvahd) November 10, 2017Make American Girls Afraid  Lisa Hanawalt (@lisadraws) November 10, 2017How does ""mother"" feel about Roy's penchant for little girls? How 'bout you?  Concerned American (@LizEClark) November 9, 2017He's all yours, Mr Vice President. Good luck with that.  Laura Parrott Perry (@lparrottperry) November 9, 2017How are you feeling about this tweet right about now?!  Christie (@Christie_D22) November 9, 2017What is the age minimum for your  cannot be left alone with a woman  rule? Asking for a friend  Michael (@mjmiglio) November 9, 2017so thrilled to have a pedophile on the #Maga team  anton newcombe (@antonnewcombe) November 9, 2017Democrat Doug Jones is running against Roy Moore. Jones secured the conviction of Ku Klux Klan members who bombed a black church in Birmingham in 1963, killing four African-American girls.Conservatives are supporting a pedo over him even though only one of the two men is qualified for the job. But Alabama is a deep-red state and that s putting it lightly. With 30 people, not including the four accusers, backing up the explosive story outing Moore as a sexual predator, one would think that this is a no-brainer and distance themselves from him. At the very least, delete tweets supporting his candidacy. Right, Mike?Photo by Chip Somodevilla/Getty Images.",0
"Republicans for some reason think it s perfectly cool to defend GOP Senate candidate Roy Moore after news broke that he allegedly molested a 14-year-old girl when he was in his 30 s.Moore, of course, says that this garbage is the very definition of fake news. Naturally, Sean Hannity was on the case, arguing on his radio program that the allegations were just  the establishment  trying to destroy Moore.Hannity s co-host also spoke up, arguing that the molestation  was consensual.  Hannity wholeheartedly agreed, apparently forgetting that  a 14-year-old girl can not consent to having sex with a man in his 30 s under any circumstances   no matter how much Ted Nugent sings about it.Listen to Hannity s disgusting defense of Moore below:Featured image via screengrab",0
"Newsweek has never been a publication to shy away from controversy, but the upcoming issue that hits newsstands on November 10 will take things to a whole new level. Not only does the cover raise the question of the current Trump administration being the most corrupt in US history, it also features the following image flanked by the headline  Snakes on a Plane,  referencing the 2006 film starring Samuel L. Jackson:New cover story: Trump is leading the most corrupt administration in U.S. history, one of first-class kleptocrats https://t.co/3KUQGPiOFR pic.twitter.com/wKvs93XsJ0  Newsweek (@Newsweek) November 2, 2017For those of you who need a little help making out the image, that is President Trump straddling a jet named the  Government Air  while throwing fistfuls of cash skyward with Treasury Secretary Steve Mnuchin sitting behind him tossing a few dollars more. Mnuchin s wife, Scottish actress Louise Linton, is next in line, just holding on for dear life, with Education Secretary Nancy DeVos at the end throwing some money into the air as well. Former HHS Secretary Tom Price can also be seen plummeting to earth, an obvious reference to the ex-congressman s unexpected departure from the Trump administration. The inclusion of Mnuchin, Linton, and Price is also most likely in reference to the scandals they ve faced in regards to taxpayer-funded air travel.Things only get worse for Trump and his cabinet once the reader opens the issue. In a cover story written by Alexander Nazaryan titled  Trump is Leading the Most Corrupt Administration in U.S. History, One of First-Class Kleptocrats,  Trump s cabinet is exposed for their use of taxpayer money for lavish and completely unnecessary expenses such as vacations and extra security detail. Ironic, considering Trump s campaign promise was to  drain the swamp,  vowing to cleanse the government of corruption. [Trump s Cabinet] were people, we d been told, who were sacrificing lucrative private-sector posts to work in the service of the American people,  Nazaryan writes in the article.  Now, those very same  forgotten Americans were paying for [Secretary of the Treasury Steven] Mnuchin, worth as much as $500 million, because he apparently didn t want to go through airport security. Power and stupidity are close companions,  says Zephyr Teachout, a law professor at Fordham University and author of Corruption in America: From Benjamin Franklin s Snuff Box to Citizens United.  They are actually living in a world in which they can t see the ways in which they are being corrupted. You re so powerful that you don t even understand that a chartered flight isn t a right. Newsweek are anticipating one of their highest-selling issues.Featured image via Win McNamee/Getty Images",0
"The Washington Post just came out with an explosive report about the extremist candidate that Alabama is running for the United States Senate, Roy Moore. This is a man who has said that homosexuality should be illegal, got removed from the Alabama Supreme Court twice for defying the United States Supreme Court   once over a giant monument of the Ten Commandments he refused to remove from the courthouse, and once for defying the Obergefell v. Hodges ruling that legalized same-sex marriage   and has always made incendiary and bigoted statements that are out of the mainstream even for the Republican Party. Now, it has come out that Moore molested a 14-year-old girl when he was in his 30 s.Now, one would think that this would be a bridge too far for anyone   especially the types of people who make entire political careers out of trying to legislate what goes on in other people s bedrooms on the basis of their twisted version of  morality,  but no. At least one Alabama Republican is defending Moore s actions, and he is using the Bible to do it. Alabama State Auditor Jim Ziegler says of what Moore allegedly did:Take the Bible. Zachariah and Elizabeth for instance. Zachariah was extremely old to marry Elizabeth and they became the parents of John the Baptist. Also take Joseph and Mary. Mary was a teenager and Joseph was an adult carpenter. They became parents of Jesus. So, let me get this straight. This guy is saying that what Moore did is A-okay because Jesus. This is insane, even for Republicans. Newsflash, Mr. Ziegler: Roy Moore is no Joseph from the Bible, and that young girl is no Mary. Further, it is absolutely absurd to suggest that a myth from a 2,000 year old holy text is some kind of justification for modern day pedophilia.I swear, these people will do anything to win. Then again, they elected Trump, so all bets are off these days. Here s yet another reason to make sure we take back Congress in 2018, Democrats. Let s bring some decency back to Washington.Featured image via Scott Olson/Getty Images",0
"The Republican favorite in Alabama s Senate race next month is being accused of inappropriate sexual conduct with a 14-year-old girl in 1979, The Washington Post reports. It s not just one child that the uber-Conservative Christian is accused of approaching when he was in his 30s, but the newspaper also found three other women who said that Roy Moore had approached them around a similar time when they were between the ages of 16 and 18.Leigh Corfman says she was 14 years old when Moore, then 32-years-old, approached her outside a courtroom in Etowah County, Ala. At that time, Moore was an assistant district attorney. Corfman s mother went inside for a child custody hearing after Moore offered to watch her daughter. He said,  Oh, you don t want her to go in there and hear all that. I ll stay out here with her,    says Corfman s mother, Nancy Wells, 71.  I thought, how nice for him to want to take care of my little girl. Once he was alone with Corfman, Moore asked for her phone number. It was days later that he picked her up around the corner from her house, drove her about 30 minutes to his home in the woods, then flattered her by telling her how pretty she was and kissed her. But by the second visit, things turned even worse when he took off the 14-year-old s shirt and pants and removed his clothes. Moore then allegedly touched her over her bra and underpants and guided her hand to touch him over his underwear, according to the paper. I wanted it over with   I wanted out,  she recalled thinking at the time.  Please just get this over with. Whatever this is, just get it over. Two of Corfman s childhood friends explained that she told them that she was seeing an older man, and one said that Corfman identified the man as Roy Moore.Corfman s mother said that her daughter told her about the encounter more than a decade later, during the time that Moore was becoming more prominent as a local judge.The Post spoke with three other women who said that Moore pursued them when they were between the ages of 16 and 18 and he was in his early 30s. All three of the women the paper spoke to said that they never had any sexual contact with Moore outside of kissing. According to one woman who was 18-years-old and in high school at the time, Moore would bring bottles of wine to their dates, even though the legal drinking age was 19.One woman, Wendy Miller, said that she first met Moore when she was a 14-year-old working as  Santa s helper  at a mall. He began asking her out when she was 16 years old.But, conservatives will overlook Moore trying to diddle children.This is such a sad, punk move from Breitbart, and people are going to remember it. pic.twitter.com/V8tndfAeCD  Dave Weigel (@daveweigel) November 9, 2017Conservatives voted an admitted sexual predator into the highest office in the land, so Moore might get more votes following this explosive report. Photo by Scott Olson/Getty Images.",0
"For the last several months, liberals have been watching the news with frustration over Congress  apparent Keystone Cop incompetency in its investigation of the Trump administration ties to Russia. The Senate has been somewhat better than the House, but still, we are pinning most of our hopes on special counsel Robert Mueller, until now.In a bombshell report in the Daily Beast, it was revealed that Senate Democrats are going behind the backs of Republicans and running their own investigation.According to the report, Senate Democrats on the Foreign Relations Committee have been secretly investigating the Trump/Russia connections with hope of making them public soon:Sean Bartlett, a Democratic spokesman for the committee, called the report a  major  effort to expose how Vladimir Putin s government has kept  the Russian public supportive of wars abroad, while distracted from the regime s criminality and corruption at home, and how, over the past decade-plus, it has adapted that toolkit and taken it global.  The report, he added,  describes how these efforts are led by the government s security services and buttressed by state-owned enterprises, Kremlin-aligned oligarchs, and Russian criminal groups that have effectively been nationalized by the state.  It traces how the operations  emanate out of Russia in concentric geographic circles: they began in Russia, expanded to its periphery and former satellites, and then into the rest of Europe and eventually, the United States. It s not completely secret. According to the committee s chairman, Sen. Bob Corker (R-TN), they know about the investigation, but they have no idea what the Democrats have found. The Democrats would like Republicans to get on board, though.The investigation isn t just about Trump. It s broader, and it explores all of Russia s sins dating back years. They are investigating issues as varied as cheating in the Olympics and Russia s attacks on Soviet Bloc countries, including its illegal annexation of Crimea.That doesn t mean they aren t investigating Trump. As one member of a Republican think tank said: It s not about Trump, but the impact will be:  Hey Mr. President, here s a list of 55 sins of the Russians, and you re kissing Putin s ass   what s the deal?' Yeah, Republicans are scared, and so, I m sure, is Trump.Featured image via Pool/Getty Images.",0
"It s been more than 18 years, but anyone who was alive at the time will remember when they first heard the news that Eric David Harris, 18, and Dylan Bennet Klebold, 17, two students from Columbine High School in Littleton, Colorado, had shot and killed 12 of their fellow students, plus one teacher and wounded 21 additional people, before turning their guns on themselves in the school s library on that fateful morning of April 20, 1999. The pair were also packing almost 100 explosives in what USA Today described as a  suicidal attack [that was] planned as a grand if badly implemented terrorist bombing. At the time it was almost impossible to conceive a greater tragedy, two lonely teenage outcasts feeling the need to take so many innocent young lives on just a regular day at school. Sure, there had been other mass-shootings of a greater scale, but Columbine is still the worst US high school shooting on record, was the second-worst mass-shooting on any school campus at the time behind the 1966 University of Texas massacre, and the fifth-worst mass-shooting on US soil.Fast-forward less than two decades later and the murder spree at Columbine High School no longer even cracks the top-10 when it comes to the worst single-day mass-shootings in modern US history. What makes the statistics even more terrifying is that the five worst mass-shootings in the United States and six of the top-10, have all occurred in the last 10 years. To make matters worse, three of the top-5 were in the past 18 months.Here are the 10 worst single-day mass-shootings in modern US history, counting victims only. In each instance, the shooter s death has been omitted.Which brings us to Eric Harris, Dylan Klebold, and the Columbine High School massacre. To many, that is one of the worst tragedies the human mind can conjure up   Just a couple of misunderstood teenagers who sought the justice of who they saw as their transgressors by running riot on their school and shooting at anyone in their path, resulting in 13 deaths, before killing themselves. This incident is no longer one of the 10 worst mass-shootings in modern US history, but something needs to be done before it drops any lower.Featured image via screenshot",0
"Fox  News  host Sean Hannity spent a whopping 6 seconds covering Tuesday night s election results in which Democrats gained seats across the country in a referendum to Donald Trump and his policies. Hannity, an ardent defender of Trump s, explained the Democratic electoral victories in three of the states by saying,  Those results in Virginia, New Jersey, and New York   not states Donald Trump won.  Hannity devoted 14 words to cover the election results in which Democrats trounced Republicans. In fact, as Shareblue notes,  Democrats flipped 14 seats in the Virginia House of Delegates   the largest Democratic gain in a single election in the state since 1899. Hannity just shrugged it off.Watch:Sean Hannity's election coverage pic.twitter.com/l8DNJbfVRq  John Whitehouse (@existentialfish) November 8, 2017After the hate-march in Charlottesville, Virginia in which tiki-torch carrying bigots terrorized the city while marching in Trump s name, resulting in the death of Heather Heyer, the Commonwealth rejected hate and bigotry at the polls yesterday.Newly elected Virginia state delegate Danica Roem, an openly transgender woman, defeated Bob Marshall, a Republican incumbent who billed himself as the commonwealth s  chief homophobe. Instead of covering the big news, Hannity, a man who can be spotted usually humping on Trump s leg, decided to cover the former reality show star s speech in South Korea and his 2016  victory. Tonight on #Hannity we will cover President Trump s speech in South Korea and election results with @SebGorka, @AmbJohnBolton, @peterschweizer, @MonicaCrowley, @GreggJarrett and more  Sean Hannity (@seanhannity) November 8, 2017And Trump is the reason Republicans lost so many seats last night, but Hannity wants to sing his praises and ignore the massive beating the GOP took.The Internet decided to rub it in his face.What's your take on the election results, Sean?  Tommy Vietor (@TVietor08) November 8, 2017Will you discuss the look on their faces? pic.twitter.com/U63kUEeZ4s  Eric McAlister (@stankfunkmusic) November 8, 2017Did the election results come in yet? pic.twitter.com/fzFjxjeZMA  ?BlueTexan?? (@lkjtexas) November 8, 2017How about the election in VA big guy? Thoughts?  johnny foosball (@funkmnm) November 8, 2017Let me save you a broadcast: Election results   LOL pic.twitter.com/AKX5j2JSeG  Jazzie (@baddogs4343) November 8, 2017Feeling a little BLUE tonight?  IAmTaniaNow! (@IAmTaniaNow) November 8, 2017What about the election landslide results in Virginia and New Jersey?  Sara Burns (@VelvetBarracuda) November 8, 2017Will you be covering the crushing election defeat of the Republican Party? Or do your viewers not need to hear about that?  Jason (@berg0887) November 8, 2017That s some real in-depth reporting there, Sean. The Fox News host likes to routinely call liberals  snowflakes  but he s the snowflakiest snowflake on TV.  It s probably better for Hannity that he didn t report the actual news, though. It looks like he was about to cry. Although, drinking Hannity s salty conservative tears is kind of satisfying after Trump stumped so hard for Ed Gillespie s campaign on Twitter.Image via screen capture. ",0
"Republicans should be downright afraid to try killing Obamacare ever again.As we all know, Donald Trump has been urging Republicans in Congress to pass legislation that would strip healthcare from over 20 million Americans.Not only do Trump and his Republican allies want to kill Obamacare, they want to end Medicaid as we know it. Indeed, Medicaid would become a death panel where the state would decide what kind of healthcare people get.As Trump s effort to kill Obamacare gets more desperate, the landmark healthcare program gets more popular, enough so, that a few Republicans have broken ranks to oppose repeal.In fact, Medicaid expansion is so popular that Maine voters overruled Governor Paul LePage s veto on Tuesday via the ballot.According to Reuters,Tuesday s ballot asked Maine voters to approve or reject a plan to provide healthcare coverageunder Medicaid for adults under the age of 65 with incomes at or below 138 percent of the federal poverty level, which in 2017 is about $16,000 for a single person and about $22,000 for a family of two.And 60 percent of Maine voters approved, clearly rejecting LePage s and Trump s efforts to kill Medicaid and Obamacare.70,000 Mainers will now be eligible for Medicaid coverage and will get the healthcare they need and deserve.This is huge because Maine is often considered politically independent to conservative leaning, meaning that Republicans would be better off abandoning their war on healthcare.If they don t, voters across the country will go to the ballot box and replace them with lawmakers who actually give a damn about them and their health.And Trump could be on the path to being a one-term president, assuming he isn t impeached or arrested before 2020.And he ll have no one to blame but himself. Because people don t like it when politicians try to kill them.Featured Image: White House Photo by Pete Souza",0
"Even Donald Trump s staunchest allies in the Republican Party are turning on him.Rick Santorum has spent a lot of time kissing Trump s ass and as a conservative extremist he holds a lot of sway with Trump supporters, especially the so-called  Christian  ones.But after Republicans suffered humiliating electoral defeats on Tuesday in New and Virginia, Santorum had words for Trump.Upon hearing of Ed Gillespie s loss in Virginia, Trump blamed him for the defeat and threw him under the bus.Ed Gillespie worked hard but did not embrace me or what I stand for. Don t forget, Republicans won 4 out of 4 House seats, and with the economy doing record numbers, we will continue to win, even bigger than before!  Donald J. Trump (@realDonaldTrump) November 8, 2017Let s not forget that Trump strenuously voiced his support of Gillespie for weeks, including on Tuesday as voters went to the polls.But voters elected Democrats instead, a clear rejection of Trump that could be a sign of things to come in 2018 and 2020.The fact is that Gillespie did embrace Trump during the campaign. And that was what doomed him.Rick Santorum came to Gillespie s defense in response to Trump s tweet. It s not Ed s fault, Santorum began.  You re blaming it on Ed, and I just don t think it s Ed s fault. I think the bottom line is Donald Trump is not delivering on what he said he was going to deliver on, and that s the problem. And he needs to deliver, and if there s a message for Republicans they better get that message and they better start passing stuff and looking like they can govern. Here s the video via YouTube.Donald Trump has never taken responsibility for anything in his entire life. He ll take credit for anything that goes right even if he had nothing to do with the success and he ll blame others for anything that goes wrong even if he is partly or wholly responsible.That s the person Republicans chose to lead their party and they will suffer for it in elections to come, just like they did in this one.Featured Image: Screenshot",0
"Well, that didn t take long.After weeks of supporting Republican candidate Ed Gillespie on Twitter, Donald Trump quickly distanced himself from him as if he never supported him at all.The statewide elections in New Jersey and Virginia were landslide victories for Democrats this year, with Gillespie losing the Virginia gubernatorial race to Ralph Northam, who ran on an anti-Trump platform.The losses were a humiliating defeat for Trump, who desperately attacked Northam on Twitter and praised Gillespie on Election Day.Ralph Northam will allow crime to be rampant in Virginia. He s weak on crime, weak on our GREAT VETS, Anti-Second Amendment .  Donald J. Trump (@realDonaldTrump) November 7, 2017 .and has been horrible on Virginia economy. Vote @EdWGillespie today!  Donald J. Trump (@realDonaldTrump) November 7, 2017.@EdWGillespie will totally turn around the high crime and poor economic performance of VA. MS-13 and crime will be gone. Vote today, ASAP!  Donald J. Trump (@realDonaldTrump) November 7, 2017Yet, Trump threw Gillespie under the bus after hearing about the defeat.Ed Gillespie worked hard but did not embrace me or what I stand for. Don t forget, Republicans won 4 out of 4 House seats, and with the economy doing record numbers, we will continue to win, even bigger than before!  Donald J. Trump (@realDonaldTrump) November 8, 2017Seriously.You can bet that if Gillespie had won Trump would kissing his ass right now and calling him a close friend and loyal supporter. But he lost so Trump is trashing him and pretending that he never really supported him.Trump also lied because not only did Gillespie embrace Trump and his bigotry, the economy is only hitting record numbers thanks to the policies of President Obama. Had Obama served a ninth year in office, we would be seeing these same economic numbers. Because Trump is still operating on the Obama budget and has not signed a single piece of economic legislation.If this election is a sign of things to come, Trump and the Republican Party should be scared to death. The American people are coming for them and it s not going to be pretty.Featured Image: Alex Wong/Getty Images",0
